gene_name	1-2	1-3	1-4	1-5	1-6	O-1	O-2	O-3
0610009B22Rik	185	258	257.001	500.001	341.999	847.998	674.998	603.001
0610009E02Rik	65.7019	0	1	24.5555	42.3347	47.3945	2.24E-20	7.25E-14
0610009L18Rik	56	267	191	224	249	178	169	144
0610010F05Rik	0	14	127	74	96	0	23	150
0610010K14Rik	90.7619	145.501	309.247	836.783	345.345	818.971	410.048	294.707
0610012G03Rik	407	516	338	1021	644	1838	1720	1254
0610030E20Rik	1223.25	2184.03	1748.98	1023.56	1754.4	2573.52	2770.08	1701.56
0610039K10Rik	0	6	15	2	2.00016	11	3	1
0610040B10Rik	106	54	12	111	246	66	104	200
0610040F04Rik	11	10	17	0	28.0018	16.0013	47.0049	20.0008
0610040J01Rik	210	59	196	95	421	234	295	242
0610043K17Rik	38	32	26	32	47	24	18	13
1100001I12Rik	0	4	0	0	0	0	7	0
1110002J07Rik	83	104	13	288	90	115	264	89
1110002L01Rik	0	2.99999	18	26	0	91	118	86
1110003F10Rik	24	13	0	4	0	63	0	5
1110004F10Rik	1171.06	1591.15	1571.67	1461.89	2374.66	3153.36	2352.19	2148.2
1110006O24Rik	49	95	22	156	43	130	60	16
1110008P14Rik	233	271.446	554.485	432.542	418.092	726.721	819.178	651.477
1110012L19Rik	232.578	153.805	405.497	325.561	441.079	508.901	461.116	451.141
1110013H19Rik	0	0	5	0	50	20	14	5
1110017D15Rik	0	28	26	0	0	0	1	0
1110019B22Rik	4	0	3	0	2	2	11	0
1110019D14Rik	1	0	0	2	0	2	107	0
1110020A21Rik	8	0	7	27	11	10	0	13
1110025M09Rik	55	101	16	208	206	132	41	108
1110032A03Rik	247.677	142.153	189.238	311.343	272.158	748.104	586.755	353.128
1110035H17Rik	55.6625	1.28133	44.3619	48.2474	2.56003	62.4064	13.1339	6.45E-40
1110038B12Rik	0	27	45	63	8	25	30	64
1110038F14Rik	283	194	301	893	254	752.997	815.001	349
1110046J04Rik	0	0	0	11	0	0	0	0
1110051M20Rik	6.00855	9.21012	34.6084	46.7891	17.2542	35.9035	150.112	66.9989
1110059E24Rik	346	1135.97	1001	1109.99	1436.99	1058.99	789.999	856.988
1110059G10Rik	39	60	43	170	120	382	158	283
1110065P20Rik	777.195	791.798	703.011	1049.62	1374.36	1398.61	1230.73	773.374
1190007I07Rik	0	0	16.5547	0	0	0	29.3906	0
1200007C13Rik	117	475	460	286	516	205	381	1534
1300002E11Rik	61	27	0	16	0	37	57	1
1300014J16Rik	479	754	348	935	1035	502	581	545
1300017J02Rik	2	1	1	0	138	1	0	0
1500002C15Rik	0	76.5641	0	99.6328	35.8579	160.174	40.8885	0
1500002F19Rik	0.696839	3.99018	7.293	47.0698	7.03804	15.6251	15.3769	12.42
1500004A13Rik	0	18.1075	1	1.00318	30.5927	35.0697	174.116	12.8977
1500005C15Rik	0	0	20	0	0	0	0	0
1500011B03Rik	76	93	272	265	115	211	338	247
1500015A07Rik	344	273	54	213	94	306	356	401
1500026H17Rik	2	5	7	11	0	0	0	0
1600002D24Rik	145	120	449	283	190	200	121	98
1600010M07Rik	721.994	1368.9	2561.98	1959.82	1416.92	1920.89	1306.97	1331.91
1600012H06Rik	1550.01	2381.51	1344.08	1781.17	1830.16	3574.87	4891.47	2665.27
1600014C10Rik	8949.19	9149.25	12191	11870	13184.1	17981.6	28049.1	15889
1600014C23Rik	0	9	0	32	0	16	14	0
1600020E01Rik	56	602	236	652.999	271	740.999	719.001	990.002
1600022D10Rik	1044	847	949	1442	1428	474	319	914
1600023N17Rik	0	0	0	0	0	40	0	27
1700001J03Rik	0	16	0	0	0	0	21	19
1700001J11Rik	6.19436	1.13333	4.88192	3.0285	1.00735	4.60539	10.4293	22.2609
1700001K23Rik	3	15	2	0	0	0	8	6
1700001L05Rik	2	86	6	49	193	24	10	5
1700001P01Rik	0	5	3	2	12	0	4	5
1700003E16Rik	0	0	0	0	0	0	85	0
1700003I16Rik	55	11	57	0	0	0	0	84
1700003N22Rik	5745.71	3436.54	4086.2	2737.63	2492.77	2565.57	2451.08	2241.24
1700006J14Rik	0	2	4	49	0	170	22	64
1700007L15Rik	0	33	0	35	4	0	46	25
1700008B11Rik	12	0	0	0	0	0	0	0
1700008J07Rik	13.0846	1.1301	0	12.5024	76.052	43.9942	12.2503	0
1700008O03Rik	0	0	0	0	0	0	0	30.798
1700010I14Rik	99.0001	43	42	19	241	1	128	100
1700012B09Rik	0	20	0	0	0	79.9999	84.0001	60
1700012D14Rik	0	0	0	0	140	10	10	15
1700015O11Rik	1	0	0	11	0	0	0	0
1700016A09Rik	4	23	0	49	26	6	26	0
1700016F12Rik	0	11	20	0	0	0	0	0
1700016G22Rik	0	0	0	0	14	0	24	0
1700016P03Rik	5	10.2836	5.27759	24.7942	19.3068	5.6358	5.67975	38.5334
1700017B05Rik	66711.5	37426.9	37951.7	42536.8	31146.8	20737.3	22533.3	23242.3
1700017G19Rik	0	2	0	0	0	0	30	51
1700017J07Rik	0	0	0	0	0	13	0	0
1700018M17Rik	0	9	8.02049	0	6.08508	0	28.644	4.03227
1700019D03Rik	0	0	32	0	0	0	0	0
1700019L13Rik	725.9	1167.66	1591.95	1578.35	1283.85	460.368	619.953	1173.79
1700020D05Rik	0	0	0	0	0	0	20	0
1700020L24Rik	41	59	108	224.315	38	200.564	109	0
1700020M21Rik	0	0	3	0	1	3	0	10
1700020N01Rik	0	0	0	0	0	15	0	0
1700021J08Rik	0	0	0	0	12	5.70568	8.80847	17.9578
1700022I11Rik	7.86156	0	5.2917	10.8575	6.19002	25.5992	64.2428	28.3228
1700023B13Rik	89.9679	153.737	174.12	84.1514	165.622	78.3521	69.1633	185.229
1700023H06Rik	143	52	198	133	86	50	172	70
1700025A08Rik	0	0	0	0	0	0	12	0
1700025G04Rik	0	0	0	0	0	22	0	0
1700025N21Rik	1	0	13	3	43	17	24	28
1700025N23Rik	6	22	0	0	36	1	8	31
1700026N04Rik	0	0	0	0	10	0	0	0
1700028B04Rik	1	1.00528	1	5.08282	2.00227	4.00365	4.09438	6.41327
1700028E10Rik	3	1	7	0	8.38119	2	66	0
1700028I16Rik	67	2	0	4	0	1	24	23
1700028J19Rik	0	25	0	55	57	112.51	59	259.546
1700028N14Rik	26	14	14	52	23	10	28	16
1700029I15Rik	0	0	56	54	0	0	0	14
1700029J03Rik	0	0	17	28	0	0	0	0
1700029J07Rik	120	3	56	42	0	0	182	14
1700029N11Rik	0	2	6	1	1	14	0	5
1700030E10Rik	2	1	1	4	2	2	14	0
1700030J22Rik	1	262	69	57	68	0	163	503.001
1700030K09Rik	11.9999	41.3765	0	26.6724	89.6826	8.24277	4.65611	14.3281
1700034P13Rik	5.68E-12	1.36E-12	0.0521037	1.76416	90.5112	3.04E-18	1.77E-09	2.54193
1700037C18Rik	65	136.904	36	379.012	80.3038	124	81.1723	136.797
1700037H04Rik	957.998	817	1273.01	1148	1058	1307.99	1401.01	1233.99
1700041G16Rik	0	3	0	123	37	28	21	24
1700047F07Rik	0	0	0	8	0	0	3	0
1700047G03Rik	0	0	0	0	0	0	3	17
1700047M11Rik	66	30	249	179	54	79	757	353
1700047N06Rik	0	0	0	0	0	0	0	25
1700052H01Rik	0	4	0	11	0	0	0	0
1700052K11Rik	113	104	145	0	1	588	315	278
1700055D18Rik	97	18	6	7	139	140	49	9
1700056E22Rik	75	0	0	0	0	0	83	74.0001
1700056N10Rik	151	154	6	10	40	29	133	172
1700058P15Rik	0	3	3	4	9	2	4	11
1700060C20Rik	0	4	0	0	2	4	0	0
1700061A03Rik	0	0	5	0	2	1	10	6
1700063J08Rik	14	2	0	0	3	1	0	6
1700066B19Rik	2	0	0	14	0	0	2	0
1700066M21Rik	0	0	3	0	8	1	51.6118	146
1700067K01Rik	0	0	0	8	0	10	2	0
1700069B07Rik	0	4	7	1	0	0	0	0
1700071M16Rik	5919.31	5246.35	2930.61	4045.68	5181.44	2385.72	2999.56	2731.66
1700072G22Rik	0	11	0	9	2	0	5	16
1700084C06Rik	2.06E-28	3.20E-07	0	1.03115	9.18244	3.86207	1.14E-09	0.000390695
1700084E18Rik	87	22	33	125	5	170	72	23
1700084J12Rik	16.866	8.36693	0.00396831	15.5392	26.2315	11.8293	30.182	33.1458
1700086O06Rik	8	13	39	14	0	18	10	0
1700086P04Rik	0	18	0	0	1	0	9	0
1700087I21Rik	0	0	0	0	0	50	12	6
1700088E04Rik	11.6032	33.4326	2.04768	86.0891	7.85886	26.8055	5.45045	15.9686
1700092C17Rik	0	4	0	0	0	6	0	0
1700092M07Rik	0	20	0	0	0	3	0	2
1700094D03Rik	33.4801	161.159	12.0889	452.578	146.323	257.216	1.11014	57.3207
